,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
32,Chosen,P.C. Cast,227771,4437,3.91,307.0,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic']",,United States,https://www.goodreads.com//book/show/1326258.Chosen
33,The Graveyard Book,Neil Gaiman,460858,32760,4.13,307.0,2008.0,False,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens Middle Grade', 'Childrens', 'Fantasy Paranormal', 'Audiobook', 'Paranormal Ghosts', 'Fantasy Supernatural']",18.0,United Kingdom,https://www.goodreads.com//book/show/2213661.The_Graveyard_Book
34,City of Fallen Angels,Cassandra Clare,511230,23763,4.11,425.0,2011.0,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fiction', 'Paranormal Angels', 'Fantasy Supernatural', 'Fantasy Magic']",1.0,United States,https://www.goodreads.com//book/show/6752378-city-of-fallen-angels
35,Untamed,P.C. Cast,221813,3669,3.94,338.0,2008.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",,United States,https://www.goodreads.com//book/show/2866718-untamed
36,Shatter Me,Tahereh Mafi,317326,30693,3.93,338.0,2011.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Fantasy Paranormal', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy Supernatural', 'Audiobook']",1.0,,https://www.goodreads.com//book/show/10429045-shatter-me
37,The Alchemyst,Michael Scott,148667,8510,3.84,369.0,2008.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Adventure', 'Fantasy Mythology', 'Childrens Middle Grade', 'Fantasy Urban Fantasy', 'Childrens', 'Young Adult Young Adult Fantasy']",3.0,United States,https://www.goodreads.com//book/show/3168250-the-alchemyst
38,Blue Bloods,Melissa de la Cruz,136612,4963,3.69,302.0,2007.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Paranormal Angels']",,United States,https://www.goodreads.com//book/show/872333.Blue_Bloods
39,Clockwork Prince,Cassandra Clare,471195,24797,4.43,498.0,2011.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Science Fiction Steampunk', 'Historical Historical Fiction', 'Fantasy Urban Fantasy', 'Fiction', 'Paranormal Angels', 'Paranormal Vampires']",2.0,United Kingdom,https://www.goodreads.com//book/show/10025305-clockwork-prince
40,Inkspell,Cornelia Funke,117414,4157,3.9,635.0,2005.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'Young Adult Young Adult Fantasy', 'European Literature German Literature']",2.0,,https://www.goodreads.com//book/show/28195.Inkspell
41,Dark Lover,J.R. Ward,302148,13410,4.17,393.0,2005.0,True,"['Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance Paranormal Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Fantasy Supernatural', 'Adult Fiction Erotica']",5.0,United States,https://www.goodreads.com//book/show/42899.Dark_Lover
42,Beautiful Disaster,Jamie McGuire,571272,28796,4.08,319.0,2011.0,True,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Adult', 'Love']",1.0,,https://www.goodreads.com//book/show/11505797-beautiful-disaster
43,Hunted,P.C. Cast,170390,3528,3.91,323.0,2009.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",1.0,United States,https://www.goodreads.com//book/show/4134071-hunted
44,Poison Study,Maria V. Snyder,152976,12036,4.09,427.0,2007.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Fantasy Paranormal', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Adventure', 'New Adult']",3.0,,https://www.goodreads.com//book/show/60510.Poison_Study
45,Crescendo,Becca Fitzpatrick,288094,11404,4.02,432.0,2010.0,True,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1.0,United States,https://www.goodreads.com//book/show/7791997-crescendo
